A01224,A01224.1,Torquato Tasso,1544,male,,Q168962
A01224,A01224.1,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.1,Homer,-900,male,Ionian League,Q6691
A01224,A01224.1,Abraham Fraunce,1558,male,England,Q3364589
A01224,A01224.10,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.10,Euripides,-480,male,Classical Athens,Q48305
A01224,A01224.100,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.101,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.104,Homer,-900,male,Ionian League,Q6691
A01224,A01224.104,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.105,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.108,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.119,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.12,Homer,-900,male,Ionian League,Q6691
A01224,A01224.121,Torquato Tasso,1544,male,,Q168962
A01224,A01224.123,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.123,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.125,Homer,-900,male,Ionian League,Q6691
A01224,A01224.126,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.126,Torquato Tasso,1544,male,,Q168962
A01224,A01224.126,Bernardo Dovizi,1470,male,,Q823002
A01224,A01224.127,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.131,Homer,-900,male,Ionian League,Q6691
A01224,A01224.131,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.132,Homer,-900,male,Ionian League,Q6691
A01224,A01224.133,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.134,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.134,Augustine of Hippo,354,male,Ancient Rome,Q8018
A01224,A01224.135,Homer,-900,male,Ionian League,Q6691
A01224,A01224.135,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.135,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.136,Homer,-900,male,Ionian League,Q6691
A01224,A01224.136,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.138,Homer,-900,male,Ionian League,Q6691
A01224,A01224.138,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.138,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.138,Torquato Tasso,1544,male,,Q168962
A01224,A01224.139,Homer,-900,male,Ionian League,Q6691
A01224,A01224.139,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.140,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.141,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.142,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.142,Homer,-900,male,Ionian League,Q6691
A01224,A01224.143,Virgil,-70,male,Ancient Rome,Q1398
A01224,A01224.143,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.148,Homer,-900,male,Ionian League,Q6691
A01224,A01224.148,Philip Sidney,1554,male,Kingdom of England,Q315509
A01224,A01224.149,Homer,-900,male,Ionian League,Q6691
A01224,A01224.150,Homer,-900,male,Ionian League,Q6691
